field	description
DL2fb_ctrtg_sv2_neg_pier	"FE Superimposed Dead Load Stress in Bottom Flange at Location of Controlling Service II Flexure Rating (Negative Region, Restraint at Pier)"
LLfb_ctrtg_sv2_neg_pier	"FE Live Load Stress in Bottom Flange at Location of Controlling Service II Flexure Rating (Negative Region, Restraint at Pier)"
DL1V_ctrtg_v_pier	FE Dead Load Shear at Location of Controlling Strength I Shear Rating (Restraint at Pier)
DL2V_ctrtg_v_pier	FE Superimposed Dead Load Shear at Location of Controlling Strength I Shear Rating (Restraint at Pier)
LLV_ctrtg_v_pier	FE Live Load Shear at Location of Controlling Strength I Shear Rating (Restraint at Pier)
loc_ctrtg_st1_pos_pier	"Location of Controlling FE Strength I Flexure Rating (Positive Region, Restraint at Pier)"
loc_ctrtg_st1_neg_pier	"Location of Controlling FE Strength I Flexure Rating(Negative Region, Restraint at Pier)"
loc_ctrtg_sv2_pos_pier	"Location of Controlling FE Service II Flexure Rating (Positive Region, Restraint at Pier)"
loc_ctrtg_sv2_neg_pier	"Location of Controlling FE Service II Flexure Rating (Negative Region, Restraint at Pier)"
loc_ctrtg_v_pier	Location of Controlling FE Strength I Shear Rating (Restraint at Pier)
st1tol_LDabt	Controlling Strength I Flexure Tolerance for Longitudinal-Differential Movement Occuring at the Abutment
st1tol_TD1abt	Controlling Strength I Flexure Tolerance for Transverse-Differential Movement Occuring at the Abutment
st1tol_TD2abt	Controlling Strength I Flexure Tolerance for Transverse-Differential Movement Occuring at the Abutment
sv2tol_LDabt	Controlling Service II Flexure Tolerance for Longitudinal-Differential Movement Occuring at the Abutment
sv2tol_TD1abt	Controlling Service II Flexure Tolerance for Transverse-Differential Movement Occuring at the Abutment
sv2tol_TD2abt	Controlling Service II Flexure Tolerance for Transverse-Differential Movement Occuring at the Abutment
vtol_LDabt	Controlling Strength I Shear Tolerance for Longitudinal-Differential Movement Occuring at the Abutment
vtol_TD1abt	Controlling Strength I Shear Tolerance for Transverse-Differential Movement Occuring at the Abutment
vtol_TD2abt	Controlling Strength I Shear Tolerance for Transverse-Differential Movement Occuring at the Abutment
DL1M_ctrltol_LDabt	Dead Load Moment at Location of Controlling Tolerance for Longitudinal-Differential Movement Occuring at the Abutment
DL1M_ctrltol_TD1abt	Dead Load Moment at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Abutment
DL1M_ctrltol_TD2abt	Dead Load Moment at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Abutment
DL2M_ctrltol_LDabt	Superimposed Dead Load Moment at Location of Controlling Tolerance for Longitudinal-Differential Movement Occuring at the Abutment
DL2M_ctrltol_TD1abt	Superimposed Dead Load Moment at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Abutment
DL2M_ctrltol_TD2abt	Superimposed Dead Load Moment at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Abutment
LLM_ctrltol_LDabt	Live Load Moment at Location of Controlling Tolerance for Longitudinal-Differential Movement Occuring at the Abutment
LLM_ctrltol_TD1abt	Live Load Moment at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Abutment
LLM_ctrltol_TD2abt	Live Load Moment at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Abutment
SettM_ctrltol_LDabt	Sett. Moment at Location of Controlling Tolerance for Longitudinal-Differential Movement Occuring at the Abutment
SettM_ctrltol_TD1abt	Sett. Moment at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Abutment
SettM_ctrltol_TD2abt	Sett. Moment at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Abutment
DL1fb_ctrltol_LDabt	Dead Load Stress in Bottom Flange at Location of Controlling Tolerance for Longitudinal-Differential Movement Occuring at the Abutment
DL1fb_ctrltol_TD1abt	Dead Load Stress in Bottom Flange at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Abutment
DL1fb_ctrltol_TD2abt	Dead Load Stress in Bottom Flange at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Abutment
DL2fb_ctrltol_LDabt	Superimposed Stress in Bottom Flange Load Moment at Location of Controlling Tolerance for Longitudinal-Differential Movement Occuring at the Abutment
DL2fb_ctrltol_TD1abt	Superimposed Stress in Bottom Flange Load Moment at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Abutment
DL2fb_ctrltol_TD2abt	Superimposed Stress in Bottom Flange Load Moment at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Abutment
LLfb_ctrltol_LDabt	Live Load Stress in Bottom Flange at Location of Controlling Tolerance for Longitudinal-Differential Movement Occuring at the Abutment
LLfb_ctrltol_TD1abt	Live Load Stress in Bottom Flange at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Abutment
LLfb_ctrltol_TD2abt	Live Load Stress in Bottom Flange at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Abutment
Settfb_ctrltol_LDabt	Sett. Moment at Stress in Bottom Flange of Controlling Tolerance for Longitudinal-Differential Movement Occuring at the Abutment
Settfb_ctrltol_TD1abt	Sett. Moment at Stress in Bottom Flange of Controlling Tolerance for Transverse-Differential Movement Occuring at the Abutment
Settfb_ctrltol_TD2abt	Sett. Moment at Stress in Bottom Flange of Controlling Tolerance for Transverse-Differential Movement Occuring at the Abutment
DL1V_ctrltol_LDabt	Dead Load Shear at Location of Controlling Tolerance for Longitudinal-Differential Movement Occuring at the Abutment
DL1V_ctrltol_TD1abt	Dead Load Shear at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Abutment
DL1V_ctrltol_TD2abt	Dead Load Shear at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Abutment
DL2V_ctrltol_LDabt	Superimposed Dead Load Shear at Location of Controlling Tolerance for Longitudinal-Differential Movement Occuring at the Abutment
DL2V_ctrltol_TD1abt	Superimposed Dead Load Shear at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Abutment
DL2V_ctrltol_TD2abt	Superimposed Dead Load Shear at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Abutment
LLV_ctrltol_LDabt	Live Load Shear at Location of Controlling Tolerance for Longitudinal-Differential Movement Occuring at the Abutment
LLV_ctrltol_TD1abt	Live Load Shear at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Abutment
LLV_ctrltol_TD2abt	Live Load Shear at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Abutment
SettV_ctrltol_LDabt	Sett. Shear at Location of Controlling Tolerance for Longitudinal-Differential Movement Occuring at the Abutment
SettV_ctrltol_TD1abt	Sett. Shear at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Abutment
SettV_ctrltol_TD2abt	Sett. Shear at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Abutment
loc_ctrlst1tol_LDabt	Location of Controlling Strength I Flexure Tolerance for Longitudinal-Differential Movement Occuring at the Abutment
loc_ctrlst1tol_TD1abt	Location of Controlling Strength I Flexure Tolerance for Transverse-Differential Movement Occuring at the Abutment
loc_ctrlst1tol_TD2abt	Location of Controlling Strength I Flexure Tolerance for Transverse-Differential Movement Occuring at the Abutment
loc_ctrlsv2tol_LDabt	Location of Controlling Service II Flexure Tolerance for Longitudinal-Differential Movement Occuring at the Abutment
loc_ctrlsv2tol_TD1abt	Location of Controlling Service II Flexure Tolerance for Transverse-Differential Movement Occuring at the Abutment
loc_ctrlsv2tol_TD2abt	Location of Controlling Service II Flexure Tolerance for Transverse-Differential Movement Occuring at the Abutment
loc_ctrlvtol_LDabt	Location of Controlling Strength I Shear Tolerance for Longitudinal-Differential Movement Occuring at the Abutment
loc_ctrlvtol_TD1abt	Location of Controlling Strength I Shear Tolerance for Transverse-Differential Movement Occuring at the Abutment
loc_ctrlvtol_TD2abt	Location of Controlling Strength I Shear Tolerance for Transverse-Differential Movement Occuring at the Abutment
st1tol_LDpier	Controlling Strength I Flexure Tolerance for Longitudinal-Differential Movement Occuring at the Pier
st1tol_TD1pier	Controlling Strength I Flexure Tolerance for Transverse-Differential Movement Occuring at the Pier
st1tol_TD2pier	Controlling Strength I Flexure Tolerance for Transverse-Differential Movement Occuring at the Pier
sv2tol_LDpier	Controlling Service II Flexure Tolerance for Longitudinal-Differential Movement Occuring at the Pier
sv2tol_TD1pier	Controlling Service II Flexure Tolerance for Transverse-Differential Movement Occuring at the Pier
sv2tol_TD2pier	Controlling Service II Flexure Tolerance for Transverse-Differential Movement Occuring at the Pier
vtol_LDpier	Controlling Strength I Shear Tolerance for Longitudinal-Differential Movement Occuring at the Pier
vtol_TD1pier	Controlling Strength I Shear Tolerance for Transverse-Differential Movement Occuring at the Pier
vtol_TD2pier	Controlling Strength I Shear Tolerance for Transverse-Differential Movement Occuring at the Pier
DL1M_ctrltol_LDpier	Dead Load Moment at Location of Controlling Tolerance for Longitudinal-Differential Movement Occuring at the Pier
DL1M_ctrltol_TD1pier	Dead Load Moment at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Pier
DL1M_ctrlst1tol_TD2pier	Dead Load Moment at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Pier
DL2M_ctrltol_LDpier	Superimposed Dead Load Moment at Location of Controlling Tolerance for Longitudinal-Differential Movement Occuring at the Pier
DL2M_ctrltol_TD1pier	Superimposed Dead Load Moment at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Pier
DL2M_ctrltol_TD2pier	Superimposed Dead Load Moment at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Pier
LLM_ctrltol_LDpier	Live Load Moment at Location of Controlling Tolerance for Longitudinal-Differential Movement Occuring at the Pier
LLM_ctrltol_TD1pier	Live Load Moment at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Pier
LLM_ctrltol_TD2pier	Live Load Moment at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Pier
SettM_ctrltol_Ldpier	Sett. Moment at Location of Controlling Tolerance for Longitudinal-Differential Movement Occuring at the Pier
SettM_ctrltol_TD1pier	Sett. Moment at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Pier
SettM_ctrltol_TD2pier	Sett. Moment at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Pier
DL1fb_ctrltol_Ldpier	Dead Load Stress in Bottom Flange at Location of Controlling Tolerance for Longitudinal-Differential Movement Occuring at the Pier
DL1fb_ctrltol_TD1pier	Dead Load Stress in Bottom Flange at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Pier
DL1fb_ctrltol_TD2pier	Dead Load Stress in Bottom Flange at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Pier
DL2fb_ctrltol_LDpier	Superimposed Stress in Bottom Flange Load Moment at Location of Controlling Tolerance for Longitudinal-Differential Movement Occuring at the Pier
DL2fb_ctrltol_TD1pier	Superimposed Stress in Bottom Flange Load Moment at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Pier
DL2fb_ctrltol_TD2pier	Superimposed Stress in Bottom Flange Load Moment at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Pier
LLfb_ctrltol_LDpier	Live Load Stress in Bottom Flange at Location of Controlling Tolerance for Longitudinal-Differential Movement Occuring at the Pier
LLfb_ctrltol_TD1pier	Live Load Stress in Bottom Flange at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Pier
LLfb_ctrltol_TD2pier	Live Load Stress in Bottom Flange at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Pier
Settfb_ctrltol_LDpier	Sett. Moment at Stress in Bottom Flange of Controlling Tolerance for Longitudinal-Differential Movement Occuring at the Pier
Settfb_ctrltol_TD1pier	Sett. Moment at Stress in Bottom Flange of Controlling Tolerance for Transverse-Differential Movement Occuring at the Pier
Settfb_ctrltol_TD2pier	Sett. Moment at Stress in Bottom Flange of Controlling Tolerance for Transverse-Differential Movement Occuring at the Pier
DL1V_ctrltol_LDpier	Dead Load Shear at Location of Controlling Tolerance for Longitudinal-Differential Movement Occuring at the Pier
DL1V_ctrltol_TD1pier	Dead Load Shear at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Pier
DL1V_ctrltol_TD2pier	Dead Load Shear at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Pier
DL2V_ctrltol_Ldpier	Superimposed Dead Load Shear at Location of Controlling Tolerance for Longitudinal-Differential Movement Occuring at the Pier
DL2V_ctrltol_TD1pier	Superimposed Dead Load Shear at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Pier
DL2V_ctrltol_TD2pier	Superimposed Dead Load Shear at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Pier
LLV_ctrltol_LDpier	Live Load Shear at Location of Controlling Tolerance for Longitudinal-Differential Movement Occuring at the Pier
LLV_ctrltol_TD1pier	Live Load Shear at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Pier
LLV_ctrltol_TD2pier	Live Load Shear at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Pier
SettV_ctrltol_LDpier	Sett. Shear at Location of Controlling Tolerance for Longitudinal-Differential Movement Occuring at the Pier
SettV_ctrltol_TD1pier	Sett. Shear at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Pier
SettV_ctrltol_TD2pier	Sett. Shear at Location of Controlling Tolerance for Transverse-Differential Movement Occuring at the Pier
loc_ctrlst1tol_LDpier	Location of Controlling Strength I Flexure Tolerance for Longitudinal-Differential Movement Occuring at the Pier
loc_ctrlst1tol_TD1pier	Location of Controlling Strength I Flexure Tolerance for Transverse-Differential Movement Occuring at the Pier
loc_ctrlst1tol_TD2pier	Location of Controlling Strength I Flexure Tolerance for Transverse-Differential Movement Occuring at the Pier
loc_ctrlsv2tol_LDpier	Location of Controlling Service II Flexure Tolerance for Longitudinal-Differential Movement Occuring at the Pier
loc_ctrlsv2tol_TD1pier	Location of Controlling Service II Flexure Tolerance for Transverse-Differential Movement Occuring at the Pier
loc_ctrlsv2tol_TD2pier	Location of Controlling Service II Flexure Tolerance for Transverse-Differential Movement Occuring at the Pier
loc_ctrlvtol_LDpier	Location of Controlling Strength I Shear Tolerance for Longitudinal-Differential Movement Occuring at the Pier
loc_ctrlvtol_TD1pier	Location of Controlling Strength I Shear Tolerance for Transverse-Differential Movement Occuring at the Pier
loc_ctrlvtol_TD2pier	Location of Controlling Strength I Shear Tolerance for Transverse-Differential Movement Occuring at the Pier
